taskCreator,contributionID,contribution,description,payeeID,ADA,GMBL,AGIX,DJED,COPI,NTX,GovWG
singularitynet,20,Operations - Coordination,"Incubation Workgroup - 24.5.23",a3amjj,,100,,,,,
singularitynet,20,Operations - Coordination,"Incubation Workgroup - 24.5.23",9klqvn,,100,,,,,
singularitynet,21,Community Communication - Operations - Coordination,"17/05/2023 STRATEGY GUILD WEEKLY MEETING- 1 TASKPOINTS.",7lnpzs,,100,,,,,
singularitynet,21,Community Communication - Operations - Coordination,"17/05/2023 STRATEGY GUILD WEEKLY MEETING- 1 TASKPOINTS.",jwrar0,,100,,,,,
singularitynet,21,Community Communication - Operations - Coordination,"17/05/2023 STRATEGY GUILD WEEKLY MEETING- 1 TASKPOINTS.",a3amjj,,100,,,,,
singularitynet,22,Community Communication - Operations - Coordination,"Participate in Process Guild 23.05.23",7lnpzs,,150,,,,,
singularitynet,22,Community Communication - Operations - Coordination,"Participate in Process Guild 23.05.23",9klqvn,,150,,,,,
singularitynet,23,Community Communication - Operations - Coordination,"Participate in Process Modelling Workgroup 24.05.23",9klqvn,,100,,,,,
singularitynet,23,Community Communication - Operations - Coordination,"Participate in Process Modelling Workgroup 24.05.23",nggwcw,,100,,,,,
singularitynet,24,Operations - Community Communication,"DF FC ideation call - 1.6.2023",mg3a4k,,200,,,,,200
singularitynet,24,Operations - Community Communication,"DF FC ideation call - 1.6.2023",u7ywg4,,200,,,,,200
singularitynet,24,Operations - Community Communication,"DF FC ideation call - 1.6.2023",7lnpzs,,200,,,,,200
singularitynet,25,Operations - Community Communication,"Call with AR-ST - 31.5.2023",9y86pv,,100,,,,,100
singularitynet,25,Operations - Community Communication,"Call with AR-ST - 31.5.2023",7lnpzs,,100,,,,,100
singularitynet,25,Operations - Community Communication,"Call with AR-ST - 31.5.2023",mg3a4k,,100,,,,,100
singularitynet,25,Operations - Community Communication,"Call with AR-ST - 31.5.2023",u7ywg4,,100,,,,,100
singularitynet,26,Community Communication,"AR - ST Preperation Call - 31.5.2023",7lnpzs,,100,,,,,100
singularitynet,26,Community Communication,"AR - ST Preperation Call - 31.5.2023",u7ywg4,,100,,,,,100
singularitynet,26,Community Communication,"AR - ST Preperation Call - 31.5.2023",mg3a4k,,100,,,,,100
singularitynet,27,Operations - Community Communication - Content Creation,"Gov Framework doc (Initial) - Create initial commentcategories ",7lnpzs,,300,,,,,300
singularitynet,28,Operations,"Setup a initial Governance Knowledge table - 30.5.2023",7lnpzs,,200,,,,,200
singularitynet,29,Documentation,"Notetaking GovWG - 30.5.2023",7lnpzs,,200,,,,,200
singularitynet,30,Content Creation,"Create a Governance Round Proposal on SWAE - Earn 100 Gimbal",g8glkf,,100,,,,,100
singularitynet,30,Content Creation,"Create a Governance Round Proposal on SWAE - Earn 100 Gimbal",u7ywg4,,100,,,,,100
singularitynet,31,Community Communication,"Join Governance WG Call #3 - 30.5.2023",lrs3kj,,100,,,,,100
singularitynet,31,Community Communication,"Join Governance WG Call #3 - 30.5.2023",tgd8fg,,100,,,,,100
singularitynet,31,Community Communication,"Join Governance WG Call #3 - 30.5.2023",7lnpzs,,100,,,,,100
singularitynet,31,Community Communication,"Join Governance WG Call #3 - 30.5.2023",r5nvwm,,100,,,,,100
singularitynet,31,Community Communication,"Join Governance WG Call #3 - 30.5.2023",pfwaf6,,100,,,,,100
singularitynet,31,Community Communication,"Join Governance WG Call #3 - 30.5.2023",rcgctj,,100,,,,,100
singularitynet,31,Community Communication,"Join Governance WG Call #3 - 30.5.2023",p8q4jl,,100,,,,,100
singularitynet,31,Community Communication,"Join Governance WG Call #3 - 30.5.2023",u7ywg4,,100,,,,,100
singularitynet,31,Community Communication,"Join Governance WG Call #3 - 30.5.2023",xl6z2n,,100,,,,,100
singularitynet,32,Operations - Community Communication,"Call with David Orban & Felix - 1.6.2023",u7ywg4,,100,,,,,100
singularitynet,33,Operations - Coordination - Onboarding - Community Communication,"Onboarding Workgroup Meeting- 01.06.2023",lrs3kj,,100,,,,,
singularitynet,33,Operations - Coordination - Onboarding - Community Communication,"Onboarding Workgroup Meeting- 01.06.2023",xl6z2n,,100,,,,,
singularitynet,33,Operations - Coordination - Onboarding - Community Communication,"Onboarding Workgroup Meeting- 01.06.2023",9klqvn,,100,,,,,
singularitynet,34,Documentation,"Prepare Email draft and Guilds/Workgroup overview",nggwcw,,200,,,,,
singularitynet,35,Operations - Coordination,"Incubation Workgroup & Strategy Guild - 31.05.23",pfwaf6,,250,,,,,
singularitynet,35,Operations - Coordination,"Incubation Workgroup & Strategy Guild - 31.05.23",j3xc2c,,250,,,,,
singularitynet,35,Operations - Coordination,"Incubation Workgroup & Strategy Guild - 31.05.23",xl6z2n,,250,,,,,
singularitynet,35,Operations - Coordination,"Incubation Workgroup & Strategy Guild - 31.05.23",vpyqlf,,250,,,,,
singularitynet,35,Operations - Coordination,"Incubation Workgroup & Strategy Guild - 31.05.23",7lnpzs,,250,,,,,
singularitynet,35,Operations - Coordination,"Incubation Workgroup & Strategy Guild - 31.05.23",lrs3kj,,250,,,,,
singularitynet,35,Operations - Coordination,"Incubation Workgroup & Strategy Guild - 31.05.23",9klqvn,,250,,,,,
singularitynet,35,Operations - Coordination,"Incubation Workgroup & Strategy Guild - 31.05.23",u7ywg4,,250,,,,,
singularitynet,36,Community Communication - Operations - Coordination,"24/5 - Strategy Guild Meeting - 1tp",lrs3kj,,100,,,,,
singularitynet,36,Community Communication - Operations - Coordination,"24/5 - Strategy Guild Meeting - 1tp",7lnpzs,,100,,,,,
singularitynet,36,Community Communication - Operations - Coordination,"24/5 - Strategy Guild Meeting - 1tp",j3xc2c,,100,,,,,
singularitynet,36,Community Communication - Operations - Coordination,"24/5 - Strategy Guild Meeting - 1tp",u7ywg4,,100,,,,,
singularitynet,36,Community Communication - Operations - Coordination,"24/5 - Strategy Guild Meeting - 1tp",vpyqlf,,100,,,,,
singularitynet,36,Community Communication - Operations - Coordination,"24/5 - Strategy Guild Meeting - 1tp",pfwaf6,,100,,,,,
singularitynet,36,Community Communication - Operations - Coordination,"24/5 - Strategy Guild Meeting - 1tp",a3amjj,,100,,,,,
singularitynet,36,Community Communication - Operations - Coordination,"24/5 - Strategy Guild Meeting - 1tp",xl6z2n,,100,,,,,
singularitynet,37,Operations - Coordination,"Headelf Strategy Guild Tasks - May / 2023",lrs3kj,,1930,1725,,,,
singularitynet,38,Operations - Community Communication - Reporting - Documenting,"Activity List May 2023",f39ntm,,3300,1725,,,,
singularitynet,39,Operations - Community Communication - Reporting - Documenting,"Cran's Activity List - May 2023",j3xc2c,,1950,1725,,,,
singularitynet,40,Operations - Community Communication - Reporting - Documenting,"Felix Activiy List May 2023",u7ywg4,,10,1725,,,,
singularitynet,41,Operations - Community Communication - Reporting - Documenting,"Rojo Activity list May 2023",vpyqlf,,2450,1725,,,,
singularitynet,42,Operations - Coordination - Community Communication - Reporting - Documenting,"SucrenSpice Activity List - May 2023",9klqvn,,1100,1725,,,,
singularitynet,43,Documenting,"Preparing Workshops or Events May 2023",rcgctj,,200,,,,,
singularitynet,43,Documenting,"Preparing Workshops or Events May 2023",jnaxjp,,200,77,,,,
singularitynet,44,Integrating - Tool development,"Treasury Manager Updates May",rcgctj,,700,,,,,
singularitynet,45,Operations - Community Communication - Reporting - Documenting,"Treasury Guild Tevo Activity List May 2023",rcgctj,,475,1725,,,,
singularitynet,46,Operations - Coordination - Documenting - Content Creation - Documentation,"Create Process map of Article Creation and Workgroup ResultsReporting for Writers Wrokgroup",jnaxjp,,150,58,,,,
singularitynet,47,Community Communication - Operations - Coordination,"Participate in Process Modeling Workgroup 31.05.23",lrs3kj,,100,,,,,
singularitynet,47,Community Communication - Operations - Coordination,"Participate in Process Modeling Workgroup 31.05.23",tgd8fg,,100,,,,,
singularitynet,47,Community Communication - Operations - Coordination,"Participate in Process Modeling Workgroup 31.05.23",u7ywg4,,100,,,,,
singularitynet,47,Community Communication - Operations - Coordination,"Participate in Process Modeling Workgroup 31.05.23",jnaxjp,,100,38,,,,
singularitynet,47,Community Communication - Operations - Coordination,"Participate in Process Modeling Workgroup 31.05.23",xl6z2n,,100,,,,,
singularitynet,47,Community Communication - Operations - Coordination,"Participate in Process Modeling Workgroup 31.05.23",fup7a9,,100,,,,,
singularitynet,47,Community Communication - Operations - Coordination,"Participate in Process Modeling Workgroup 31.05.23",rcgctj,,100,,,,,
singularitynet,47,Community Communication - Operations - Coordination,"Participate in Process Modeling Workgroup 31.05.23",9klqvn,,100,,,,,
singularitynet,47,Community Communication - Operations - Coordination,"Participate in Process Modeling Workgroup 31.05.23",f39ntm,,100,,,,,
singularitynet,48,Community Communication - Operations - Coordination,"Participate in Process Guild 30.05.23",xl6z2n,,100,,,,,
singularitynet,48,Community Communication - Operations - Coordination,"Participate in Process Guild 30.05.23",f39ntm,,100,,,,,
singularitynet,48,Community Communication - Operations - Coordination,"Participate in Process Guild 30.05.23",9klqvn,,100,,,,,
singularitynet,48,Community Communication - Operations - Coordination,"Participate in Process Guild 30.05.23",vpyqlf,,100,,,,,
singularitynet,48,Community Communication - Operations - Coordination,"Participate in Process Guild 30.05.23",j3xc2c,,100,,,,,
singularitynet,48,Community Communication - Operations - Coordination,"Participate in Process Guild 30.05.23",pfwaf6,,100,,,,,
singularitynet,48,Community Communication - Operations - Coordination,"Participate in Process Guild 30.05.23",rcgctj,,100,,,,,
singularitynet,48,Community Communication - Operations - Coordination,"Participate in Process Guild 30.05.23",u7ywg4,,100,,,,,
singularitynet,48,Community Communication - Operations - Coordination,"Participate in Process Guild 30.05.23",lrs3kj,,100,,,,,
singularitynet,48,Community Communication - Operations - Coordination,"Participate in Process Guild 30.05.23",7lnpzs,,100,,,,,
singularitynet,48,Community Communication - Operations - Coordination,"Participate in Process Guild 30.05.23",fup7a9,,100,,,,,
singularitynet,49,Documenting,"Process Guild Preparing Workshops or Events May 2023",rcgctj,,950,,,,,
singularitynet,50,Operations - Community Communication - Reporting - Documenting,"Process Guild Tevo Activity List May 2023",rcgctj,,1475,,,,,
singularitynet,51,Operations - Community Communication - Reporting - Documenting,"Fly Activity List May 2023",pfwaf6,,,1725,,,,
singularitynet,52,Operations - Community Communication - Reporting - Documenting,"Stephen Activity List May 2023",mg3a4k,,,1725,,,,
singularitynet,53,Operations - Community Communication - Reporting - Documenting,"Peter Activity List May 2023",xl6z2n,,,1725,,,,
