taskCreator,contributionID,contribution,description,payeeID,ADA,GMBL,AGIX,DJED,COPI,NTX
singularitynet,17,Community Communication,"Process Guild - March 14",t65ffu,,100,2,,,
singularitynet,17,Community Communication,"Process Guild - March 14",9p4mch,,100,2,,,
singularitynet,18,Documentation,"Aggregate Community Proposal (sheets) -Roles/Guilds/Workgroups - 20USD",pfwaf6,,200,43,,,
singularitynet,19,Documentation,"Aggregate Proposal on Roles (doc) - 30USD",pfwaf6,,300,63,,,
singularitynet,20,Community Communication,"Community Feedback #6 - 4.3.23  - 15USD",t65ffu,,150,33,,,
singularitynet,20,Community Communication,"Community Feedback #6 - 4.3.23  - 15USD",pfwaf6,,150,33,,,
singularitynet,21,Documentation,"Community Feedback - Notes - 20USD",pfwaf6,,200,43,,,
singularitynet,22,Community Communication,"Community Feedback #4 -3.3.23 - 10USD",pfwaf6,,200,22,,,
singularitynet,22,Community Communication,"Community Feedback #4 -3.3.23 - 10USD",xl6z2n,,200,22,,,
singularitynet,23,Community Communication,"Community Feedback #2 - 2.3.23 - 10USD",pfwaf6,,100,22,,,
singularitynet,24,Community Communication,"Community Feedback #1 - 1.3.23 - 20 USD",0cnk5v,,200,43,,,
singularitynet,24,Community Communication,"Community Feedback #1 - 1.3.23 - 20 USD",pfwaf6,,200,43,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",fu9paa,,100,2,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",j3xc2c,,100,2,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",pfwaf6,,100,2,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",t65ffu,,100,2,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",lrs3kj,,100,2,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",tgd8fg,,100,2,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",xl6z2n,,100,2,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",nggwcw,,100,2,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",fup7a9,,100,2,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",93ah9r,,100,2,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",jwrar0,,100,2,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",cu9ctl,,100,2,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",lchsml,,100,2,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",q5xpal,,100,2,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",9p4mch,,100,2,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",9klqvn,,100,2,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",5djnmp,,100,2,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",f39ntm,,100,2,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",0cnk5v,,100,2,,,
singularitynet,25,Community Communication,"Join Ambassador Town Hall #39 - Earn 100 GMBL & 2 AGIX",rcgctj,,100,2,,,
singularitynet,26,Community Communication - Content Creation,"Create a video summary of the Ecosystem leader meeting of July2022 (Max. 3 submissions)",ya5t5l,,300,2,,,
singularitynet,27,Content Creation,"[added to forum] Verify translation Chinese -Operations Q2 blog - 20USD",cu9ctl,,200,43,,,
singularitynet,28,Content Creation,"[added to forum] Verify translation Chinese - AprilEcosystem Update -20USD",cu9ctl,,200,43,,,
singularitynet,29,Content Creation,"[added to forum] Translate to Chinese - Ecosystemupdate blogpost May - 20USD",cu9ctl,,200,43,10,10,10
